2018-09-05 11:29:14,664 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\My-pc\Desktop\shakthi sftware\delivery\src\test\resources
2018-09-05 11:30:44,884 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.Shakthi:delivery:0.0.1-SNAPSHOT @ C:\Users\My-pc\Desktop\shakthi hardware\delivery\pom.xml.
2018-09-05 11:30:44,884 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.Shakthi:delivery:0.0.1-SNAPSHOT @ C:\Users\My-pc\Desktop\shakthi hardware\delivery\pom.xml.
2018-09-05 11:30:46,894 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:30:46,958 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-09-05 11:30:47,129 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:30:47,159 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\My-pc\Desktop\shakthi hardware\delivery\src\test\resources
2018-09-05 11:30:47,794 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:30:47,816 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-09-05 11:30:47,842 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:30:47,870 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\My-pc\Desktop\shakthi hardware\delivery\src\test\resources
2018-09-05 11:30:49,223 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.Shakthi:delivery:0.0.1-SNAPSHOT @ C:\Users\My-pc\Desktop\shakthi hardware\delivery\pom.xml.
2018-09-05 11:30:51,692 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:30:51,706 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-05 11:30:51,708 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:30:51,719 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\My-pc\Desktop\shakthi hardware\delivery\src\test\resources
2018-09-05 11:35:05,064 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:35:05,084 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-09-05 11:35:05,112 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:35:05,121 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\My-pc\Desktop\shakthi hardware\delivery\src\test\resources
2018-09-05 11:35:22,302 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:35:22,316 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-09-05 11:35:22,325 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:35:22,332 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\My-pc\Desktop\shakthi hardware\delivery\src\test\resources
2018-09-05 11:35:53,414 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:35:53,438 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-09-05 11:35:53,453 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:35:53,462 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\My-pc\Desktop\shakthi hardware\delivery\src\test\resources
2018-09-05 11:36:15,061 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:36:15,071 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-09-05 11:36:15,078 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:36:15,085 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\My-pc\Desktop\shakthi hardware\delivery\src\test\resources
2018-09-05 11:39:12,701 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:39:12,721 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-09-05 11:39:12,736 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 11:39:12,746 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\My-pc\Desktop\shakthi hardware\delivery\src\test\resources
2018-09-05 12:01:32,017 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 12:01:32,043 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-09-05 12:01:32,050 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 12:01:32,064 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\My-pc\Desktop\shakthi hardware\delivery\src\test\resources
